time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-04T17:36:25.720Z,46.8751666666667,-121.913166666667,9.89,0.73,ml,13,70,,0.08,uw,uw61548001,2019-09-04T17:44:16.810Z,"26km E of Eatonville, Washington",earthquake,0.32,0.66,0.139109733102715,6,reviewed,uw,uw
2019-09-04T17:30:55.290Z,45.314,-121.6925,2.37,1.01,ml,4,163,,0.1,uw,uw61547996,2019-09-04T18:09:08.400Z,"23km ESE of Mount Hood Village, Oregon",earthquake,0.63,10.78,0.15328429246216,4,reviewed,uw,uw
2019-09-04T17:25:38.150Z,45.3143333333333,-121.7075,6.6,1.03,ml,8,121,,0.07,uw,uw61547991,2019-09-04T18:06:28.610Z,"21km ESE of Mount Hood Village, Oregon",earthquake,0.59,0.37,0.0772024730794372,5,reviewed,uw,uw
2019-09-04T17:21:04.930Z,36.0973333,-117.842,0.97,1.29,ml,11,129,0.02273,0.09,ci,ci39042544,2019-09-04T17:24:48.921Z,"11km ENE of Coso Junction, CA",earthquake,0.32,0.22,0.218,19,automatic,ci,ci
2019-09-04T17:17:52.650Z,35.922,-117.6678333,1.61,0.85,ml,12,65,0.02947,0.13,ci,ci39042528,2019-09-04T17:21:21.625Z,"22km E of Little Lake, CA",earthquake,0.2,0.34,0.122,9,automatic,ci,ci
2019-09-04T17:13:45.380Z,46.3371666666667,-122.493,-1.24,1.26,ml,12,299,,0.1,uw,uw61547986,2019-09-04T18:01:26.290Z,"29km SW of Morton, Washington",explosion,0.59,31.61,0.125421102732329,11,reviewed,uw,uw
2019-09-04T17:07:30.960Z,38.7923317,-122.8024979,3.71,0.69,md,12,95,0.004025,0.04,nc,nc73265160,2019-09-04T17:25:03.524Z,"4km WNW of The Geysers, CA",earthquake,0.45,0.96,0.23,3,automatic,nc,nc
2019-09-04T17:07:13.020Z,38.7873344,-122.7356644,1.1,1.2,md,17,69,0.01578,0.05,nc,nc73265155,2019-09-04T20:45:04.954Z,"2km ENE of The Geysers, CA",earthquake,0.25,0.54,0.13,5,automatic,nc,nc
2019-09-04T17:03:25.470Z,38.8195,-122.7633362,1.72,1.03,md,19,65,0.0121,0.05,nc,nc73265150,2019-09-04T17:12:03.175Z,"4km W of Cobb, CA",earthquake,0.24,0.37,0.05,6,automatic,nc,nc
2019-09-04T16:57:42.230Z,35.6865,-117.4865,4.77,0.82,ml,18,74,0.05542,0.15,ci,ci39042504,2019-09-04T17:01:25.164Z,"12km SW of Searles Valley, CA",earthquake,0.32,0.58,0.063,8,automatic,ci,ci
2019-09-04T16:56:32.870Z,45.3248333333333,-121.7145,5.56,0.93,ml,5,145,,0.02,uw,uw61547981,2019-09-04T17:56:55.090Z,"21km E of Mount Hood Village, Oregon",earthquake,0.33,0.65,0.0937673651810902,4,reviewed,uw,uw
2019-09-04T16:44:08.960Z,35.5631667,-118.4043333,6,1.1,ml,14,65,0.1145,0.11,ci,ci39042472,2019-09-04T16:47:50.261Z,"8km ESE of Bodfish, CA",earthquake,0.21,0.84,0.157,13,automatic,ci,ci
2019-09-04T16:42:28.060Z,35.7101667,-117.5375,3.19,0.79,ml,14,133,0.09162,0.23,ci,ci39042464,2019-09-04T16:46:12.399Z,"14km WSW of Searles Valley, CA",earthquake,0.61,1.87,0.072,8,automatic,ci,ci
2019-09-04T16:38:59.850Z,36.0735,-117.857,1.59,1.22,ml,15,158,0.04402,0.15,ci,ci39042456,2019-09-04T16:42:35.382Z,"9km ENE of Coso Junction, CA",earthquake,0.29,0.26,0.242,17,automatic,ci,ci
2019-09-04T16:20:40.030Z,45.3248333333333,-121.714166666667,5.54,0.73,ml,5,145,,0.02,uw,uw61547976,2019-09-04T17:49:03.080Z,"21km E of Mount Hood Village, Oregon",earthquake,0.31,0.76,0.157245683312677,3,reviewed,uw,uw
2019-09-04T16:14:35.170Z,35.6038333,-117.374,4.85,0.66,ml,15,130,0.07247,0.24,ci,ci39042416,2019-09-04T16:18:19.248Z,"18km S of Trona, CA",earthquake,0.53,0.76,0.058,5,automatic,ci,ci
2019-09-04T16:13:11.580Z,35.7911667,-117.6238333,7.56,1.19,ml,25,85,0.03254,0.16,ci,ci39042408,2019-09-04T16:24:11.640Z,"20km NNE of Ridgecrest, CA",earthquake,0.26,0.66,0.15,16,automatic,ci,ci
2019-09-04T15:56:57.370Z,35.862,-117.6745,8.77,1.7,ml,28,46,0.07774,0.15,ci,ci39042376,2019-09-04T16:08:05.810Z,"22km ESE of Little Lake, CA",earthquake,0.21,0.65,0.269,26,automatic,ci,ci
2019-09-04T15:53:57.830Z,38.8016663,-122.7799988,1.98,1.95,md,32,66,0.01049,0.05,nc,nc73265120,2019-09-04T18:44:02.203Z,"3km NW of The Geysers, CA",earthquake,0.19,0.35,0.19,11,automatic,nc,nc
2019-09-04T15:42:38.200Z,35.9211667,-117.6965,5.09,0.68,ml,11,78,0.04596,0.17,ci,ci39042336,2019-09-04T15:46:23.063Z,"19km E of Little Lake, CA",earthquake,0.43,1.34,0.055,8,automatic,ci,ci
2019-09-04T15:37:50.620Z,35.6706667,-117.4873333,4.79,0.95,ml,19,96,0.05212,0.17,ci,ci39042304,2019-09-04T15:41:24.520Z,"13km SW of Searles Valley, CA",earthquake,0.33,0.58,0.115,11,automatic,ci,ci
2019-09-04T15:37:34.930Z,35.9343333,-117.6966667,4.5,0.52,ml,9,84,0.03993,0.11,ci,ci39042296,2019-09-04T15:41:09.519Z,"19km E of Little Lake, CA",earthquake,0.28,0.57,0.143,7,automatic,ci,ci
2019-09-04T15:37:17.360Z,32.8113333,-116.6396667,13.33,0.96,ml,22,83,0.09509,0.2,ci,ci39042280,2019-09-04T15:40:48.276Z,"10km W of Pine Valley, CA",earthquake,0.42,0.82,0.195,15,automatic,ci,ci
2019-09-04T15:26:19.450Z,35.6685,-117.486,2.75,0.9,ml,18,93,0.05085,0.19,ci,ci39042248,2019-09-04T15:29:45.431Z,"13km SW of Searles Valley, CA",earthquake,0.32,0.43,0.173,9,automatic,ci,ci
2019-09-04T15:21:30.630Z,35.8393333,-117.6738333,9.53,1.02,ml,16,79,0.06634,0.17,ci,ci39042240,2019-09-04T15:25:18.407Z,"24km ESE of Little Lake, CA",earthquake,0.3,0.83,0.19,13,automatic,ci,ci
2019-09-04T14:59:04.710Z,35.8411667,-117.6638333,4.32,1.04,ml,16,82,0.05957,0.19,ci,ci39042200,2019-09-04T15:02:33.863Z,"24km ESE of Little Lake, CA",earthquake,0.32,0.67,0.181,14,automatic,ci,ci
